ann‚eCAN;paysSelection;maillotNum;posteJeu;Joueur;DateNaiss 1;date_naiss;DateNaiss 2;paysClub;Club;club_2
1992;Alg‚rie;16;Gardien de but;Kamel Kadri;19 November 1963 ;1963-11-19;28;Alg‚rie;ÿMC Alger;Mouloudia Club of Algiers
1992;Alg‚rie;1;Gardien de but;Mounir Laouar;25 March 1963 ;1963-03-25;28;Alg‚rie;ÿMO Constantine;MO Constantine
1992;Alg‚rie;22;Gardien de but;Antar Osmani;22 June 1960 ;1960-06-22;31;Alg‚rie;ÿES S‚tif;E.S. S‚tifienne
1992;Alg‚rie;3;D‚fenseur;Kamel Adjas;3 January 1963 ;1963-01-03;29;Alg‚rie;ÿES S‚tif;E.S. S‚tifienne
1992;Alg‚rie;5;D‚fenseur;Omar Belatoui;4 September 1969 ;1969-09-04;22;Alg‚rie;ÿMC Oran;Mouloudia Club Oranais
1992;Alg‚rie;4;D‚fenseur;Ali Benhalima;21 January 1962 ;1962-01-21;29;Espagne;ÿUE Lleida;UE Lleida
1992;Alg‚rie;20;D‚fenseur;Fodil Megharia;23 May 1961 ;1961-05-23;30;Tunisie;ÿClub Africain;Club Africain
1992;Alg‚rie;2;D‚fenseur;Mourad Rahmouni;3 December 1963 ;1963-12-03;28;Alg‚rie;ÿJS Kabylie;JS Kabylie
1992;Alg‚rie;15;D‚fenseur;Liazid Sandjak;11 September 1966 ;1966-09-11;25;France;ÿParis SG;Paris Saint-Germain F.C.
1992;Alg‚rie;12;D‚fenseur;Mohamed TribŠche;14 June 1964 ;1964-06-14;27;Alg‚rie;ÿES S‚tif;E.S. S‚tifienne
1992;Alg‚rie;14;Milieu de terrain;Tahar Cherif El-Ouazzani;10 July 1967 ;1967-07-10;24;Turquie;ÿAydÕnspor;AydÕnspor
1992;Alg‚rie;11;Milieu de terrain;Rabah Madjerÿ(c;15 February 1958 ;1958-02-15;33;Qatar;Qatar SC;Qatar SC
1992;Alg‚rie;6;Milieu de terrain;Mahieddine Meftah;26 September 1968 ;1968-09-26;23;Alg‚rie;ÿJS Kabylie;JS Kabylie
1992;Alg‚rie;18;Milieu de terrain;Moussa Sa‹b;6 March 1969 ;1969-03-06;22;Alg‚rie;ÿJS Kabylie;JS Kabylie
1992;Alg‚rie;19;Milieu de terrain;Abdelhafid Tasfaout;11 February 1969 ;1969-02-11;22;Alg‚rie;ÿMC Oran;Mouloudia Club Oranais
1992;Alg‚rie;10;Attaquant;Ali Bouafia;5 August 1964 ;1964-08-05;27;France;ÿOlympique Lyonnais;Olympique Lyonnais
1992;Alg‚rie;7;Attaquant;Nacer Bouiche;16 May 1963 ;1963-05-16;28;France;ÿRed Star Saint-Ouen;Red Star F.C.
1992;Alg‚rie;13;Attaquant;Youssef Haraoui;12 May 1965 ;1965-05-12;26;R‚publique TchŠque;Slovan Bratislava;?K Slovan Bratislava
1992;Alg‚rie;8;Attaquant;Hakim Medane;5 September 1966 ;1966-09-05;25;Portugal;PortugalÿF.C. FamalicÆo;F.C. FamalicÆo
1992;Alg‚rie;9;Attaquant;Djamel Menad;22 July 1960 ;1960-07-22;31;Portugal;PortugalÿF.C. FamalicÆo;F.C. FamalicÆo
1992;Alg‚rie;17;Attaquant;Mohamed Rahem;21 June 1970 ;1970-06-21;21;Alg‚rie;ÿUSM El Harrach;Union Sportive Madinet El Harrach
1992;Cameroun;22;Gardien de but;William Andem;14 June 1968;1968-06-14;23;Cameroun;ÿOlympic Mvoly‚;Olympic Mvoly‚
1992;Cameroun;1;Gardien de but;Joseph-Antoine Bell;8 October 1954;1954-10-08;37;France;ÿAS Saint-tienne;AS Saint-tienne
1992;Cameroun;16;Gardien de but;Jacques Songo'o;17 March 1964;1964-03-17;27;France;ÿSC Toulon;Sporting Toulon Var
1992;Cameroun;15;D‚fenseur;Hans Agbo;26 September 1967;1967-09-26;24;Cameroun;ÿPr‚voyance Yaound‚;Pr‚voyance Yaound‚
